node_id,video_id,titulo,canal,categoria,vistas,comentarios_muestra,comunidad_id,comunidad_nombre,estado_estructural,grado,grado_ponderado,intermediacion_global,intermediacion_componente,cercania_global,cercania_componente,pagerank_global,pagerank_componente,es_punto_articulacion,rol_estructural
video::n8iP75gIpmw,n8iP75gIpmw,Qué rico come tu diputado,Quorum,News & Politics,11775,161,1,Comunidad 1,conectado,4,5,0.000541354799227981,0.6388888888888888,0.018493150684931504,0.6,0.03420888821626137,0.18006748050356153,True,Articulador central multienlace
video::ndAZjHqzzT8,ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,News & Politics,717,12,3,Comunidad 3,conectado,4,5,0.0004472061384926799,0.5277777777777778,0.016317485898468976,0.5294117647058824,0.031020770323055495,0.16337745204275794,True,Articulador central multienlace
video::PjmxCj-a9Hg,PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,Entertainment,3628,25,2,Comunidad 2,conectado,2,2,0.0003295203125735536,0.38888888888888884,0.014599855803893294,0.47368421052631576,0.016990029421645163,0.08933915107620127,True,Articulador bisagra de rama
video::j43HgwYFKfk,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,10156,50,1,Comunidad 1,conectado,3,4,0.00018829732147060207,0.2222222222222222,0.015410958904109588,0.5,0.027066648272183497,0.14248398185150038,True,Articulador central multienlace
video::6W4u8sGEnGM,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,11670,45,2,Comunidad 2,conectado,2,2,0.00018829732147060207,0.2222222222222222,0.011095890410958903,0.36,0.019576540197405182,0.10288578011345978,True,Articulador bisagra de rama
video::WIUZtitfLRw,WIUZtitfLRw,Caminar en una ciudad hecha para carros,Quorum,News & Politics,422,6,3,Comunidad 3,conectado,2,2,9.414866073530103e-05,0.1111111111111111,0.011558219178082191,0.375,0.013553397469842807,0.0713551820995253,False,Participante periférico en comunidad
video::yLZS3JiEBg8,yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,1954,16,3,Comunidad 3,conectado,2,3,0.0,0.0,0.011558219178082191,0.375,0.01915512492622689,0.10087422607647696,False,Participante periférico en comunidad
video::06mFNPU0aB8,06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,News & Politics,6692,14,2,Comunidad 2,conectado,1,1,0.0,0.0,0.008405977584059775,0.2727272727272727,0.011178867846426287,0.058727341154634974,False,Participante periférico en comunidad
video::b_Hkrkl3adA,b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,News & Politics,5469,7,1,Comunidad 1,conectado,1,1,0.0,0.0,0.012060750446694461,0.391304347826087,0.008673237454790973,0.0456118099215663,False,Participante periférico en comunidad
video::is3Mk5oC19g,is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,News & Politics,4616,7,1,Comunidad 1,conectado,1,1,0.0,0.0,0.010669125395152792,0.34615384615384615,0.00860902195325891,0.04527759516031582,False,Participante periférico en comunidad
