comment_id,video_id,author_channel_id,author_handle,titulo_video,canal,categoria_video,texto_original,texto_limpio,puntaje_bruto,sentimiento,categoria_sentimiento,terminos_lexico,terminos_positivos,terminos_negativos,emojis_valorados,negaciones_aplicadas,texto_vacio,cobertura_lexica,comunidad_id
Ugxbz7-04jLwadBMK_p4AaABAg,n8iP75gIpmw,UChep9kVb5gQmpodEEl10Xlg,/@carlosaguilar-kz7ml,Qué rico come tu diputado,Quorum,News & Politics,2000 quetzales todo una quincena se hartaron en un solo dia. Que joyitas estas que no piensan en el pueblo.,quetzales quincena hartaron solo dia joyitas estas piensan pueblo,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,1
UgxcBa2IQb3I0JZcFax4AaABAg,6W4u8sGEnGM,UCtsxPYw8VUsH_FfnKg-0lmw,/@AlejandroP%C3%A9rez-b6r,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,Lo del nombre es lo de menos ojala que si lo terminen esta vez,nombre menos ojala terminen vez,0.5,0.128,positivo,1,ojala,,,0,False,True,2
UgxcGV8-rD83ACvM0954AaABAg,n8iP75gIpmw,UCRlCV9zSn7avAWh-9_XFWqQ,/@ronyarana8849,Qué rico come tu diputado,Quorum,News & Politics,"No es un buen salario 25,000.00 quetzales dice entonces q puedo hacer yo con 3,000.00 tristes quetzales",buen salario quetzales dice entonces puedo hacer tristes quetzales,-1.48,-0.357,negativo,1,,buen,,1,False,True,1
UgxctiUZJriWwsE0a6J4AaABAg,n8iP75gIpmw,UCut6b9S98nv84cVX89PmKzA,/@yeniferaguirre4498,Qué rico come tu diputado,Quorum,News & Politics,Échale un cuento completo este diputado y toda la bola de inservibles que fueron a comerse dinero del pueblo hasta sanguijuelas Oiga bien Dice que Cómo en el erario público y el gobierno como empresa donde una empresa produce dinero ellos gastan dinero desde una empresa no le da un bocado de comida a nadie si no produce ellos no producen ellos son los gastan,échale cuento completo diputado toda bola inservibles fueron comerse dinero pueblo sanguijuelas oiga dice cómo erario público gobierno empresa empresa produce dinero gastan dinero empresa da bocado comida nadie produce producen gastan,1.5,0.3612,positivo,1,bien,,,0,False,True,1
Ugxd8fn-MEnc3SKPtid4AaABAg,6W4u8sGEnGM,UCfo_yUPzy1f1POwwZxhZ06Q,/@lara11roberto,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,"Otto Pérez Leal dejó tirado un paso a desnivel en Molino Las Flores y Neto Bran ni se ha molestado en retomar. 
Hay diferencias de políticos. Arévalo, el tiempo le dará la razón.
La paciencia es una virtud.",otto pérez leal dejó tirado paso desnivel molino flores neto bran ni molestado retomar diferencias políticos arévalo tiempo dará razón paciencia virtud,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,2
UgxdfjiT5_VBaeADj7h4AaABAg,6W4u8sGEnGM,UCV3fr-YOixFKCZBbJP1-X4w,/@albertoshernandez5251,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,TODO EL APOYO PARA EL PRESIDENTE BERNARDO AREVALO 👏🎉👏🎉👏🎉👏,apoyo presidente bernardo arevalo,16.95,0.9749,positivo,1,apoyo,,👏🎉👏🎉👏🎉👏,0,False,True,2
Ugxe0MXeW4ziwUMTfF54AaABAg,n8iP75gIpmw,UCTylKrsqkrBKIqubMu_5N0Q,/@edwingeovanymarroquinmarro6684,Qué rico come tu diputado,Quorum,News & Politics,Jejejejejkee porque nosotros vivos con el minimo jejeje,jejejejejkee nosotros vivos minimo jejeje,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,1
UgxeJQgzDc124jVv7Fx4AaABAg,j43HgwYFKfk,UC5hvEnRUzI4Kfvwnyi4QxqQ,/@leonelsantizo5281,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,Más claro imposible! Usac sigan en su lucha! Mientras comparto su video para que más personas se informen,más claro imposible usac sigan lucha mientras comparto video más personas informen,1.58,0.3777,positivo,1,comparto,,,0,False,True,1
Ugxf6gnAtXKqV1Q_zRd4AaABAg,WIUZtitfLRw,UCVhif9eV0f8plICen2DnpKA,/@blogarteplus,Caminar en una ciudad hecha para carros,Quorum,News & Politics,"Excelente reportaje. Les comparto algo que escribí en mi blog sobre mi experiencia siendo peatón en la cabecera departamental de Jutiapa, acá en Guatemala. 
https://mrmannoticias.blogspot.com/2018/04/el-indomito-peaton-de-jutiapa.html",excelente reportaje comparto escribí blog experiencia siendo peatón cabecera departamental jutiapa acá guatemala,4.0,0.7184,positivo,2,excelente | comparto,,,0,False,True,3
UgxfUxJfY_pjvu9318Z4AaABAg,n8iP75gIpmw,UC1vr9aaMI2crB0NvwFHUeoQ,/@JoseSimilox-p6e,Qué rico come tu diputado,Quorum,News & Politics,Ese diputado es mañoso y abusivo como todos solo de artar no hacen nada bueno por el pueblo ladrones el pueblo le paga de Ai tiene que pagar su almuerzo,diputado mañoso abusivo todos solo artar hacen nada bueno pueblo ladrones pueblo paga ai pagar almuerzo,-6.98,-0.8744,negativo,3,,abusivo | bueno | ladrones,,1,False,True,1
UgxfnbtuhVQuDILnXj14AaABAg,n8iP75gIpmw,UCEgEQmRbtL5fwr9_DqAC--g,/@ArielRodas-g5y,Qué rico come tu diputado,Quorum,News & Politics,Que no justifique. Trabajo es trabajo y tiene que haser algo,justifique trabajo trabajo haser,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,1
Ugxgxziq7k4s9WwmauB4AaABAg,lj983NWyAQY,UCIUhbSCy3-SGRe5UtqM4fzQ,/@jeanmorales1677,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,Es problema es el exceso de vehículos y eso nadie lo podrá resolver sin contar la falta de educación vial que genera bastante tráfico ya q todos quieren pasar al mismo tiempo. Pero son buenos proyectos.,problema exceso vehículos nadie podrá resolver contar falta educación vial genera bastante tráfico todos quieren pasar mismo tiempo buenos proyectos,1.0,0.25,positivo,2,buenos,problema,,0,False,True,0
UgxiEgXuexKPtHEwAQJ4AaABAg,OkXlHx0hx-8,UCozFYHN0e_-vlQbX3wQGOug,/@jesusguzman2321,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,Esa son la noticia de univision y Telemundo  no dan otra positiva al gobierno  ya lo estamos desenmascarando  su manipulación,noticia univision telemundo dan otra positiva gobierno estamos desenmascarando manipulación,-2.0,-0.4588,negativo,1,,manipulación,,0,False,True,0
UgxiEgXuexKPtHEwAQJ4AaABAg.Aa9HLCNywwKAa9OgyseDes,OkXlHx0hx-8,UCQMMuADgqWUOcJpLwHOzC-g,/@Ripped-Yoda,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,Bajo el crimen y la oferta de casas crecio en Texas…..lastima por tamto ilegal,crimen oferta casas crecio texas lastima tamto ilegal,-6.0,-0.8402,negativo,3,,crimen | lastima | ilegal,,0,False,True,0
UgxiEgXuexKPtHEwAQJ4AaABAg.Aa9HLCNywwKAa9ZeEQh7n7,OkXlHx0hx-8,UC-QOpE7GOxlXcHZ8b7HbQKA,/@mariaalexander427,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,💯Correcto.  Unicoyote y Telementiras ya jartan con la misma novela y teatro todos los dias.,correcto unicoyote telementiras jartan misma novela teatro todos dias,3.5,0.6705,positivo,1,correcto,,💯,0,False,True,0
Ugxj76_NAyOnh_vsgMV4AaABAg,lj983NWyAQY,UC0RpuMwkDKJYqgKHtsJRuWQ,/@sabinamarinaguerra3248,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,Se ve moderna Y bella la ciudad de Guatemala .......Saludos desde Ecuador,ve moderna bella ciudad guatemala saludos ecuador,1.0,0.25,positivo,1,saludos,,,0,False,True,0
UgxkcFai5KbeHyhGbnF4AaABAg,6W4u8sGEnGM,UC-HeUTT6_g-VoiWds2a4H-w,/@JorgeMunoz-gd9et,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,Señor presidente enfoque se en combatir la delincuencia y usted será recordado como el mejor presidente de Guatemala,señor presidente enfoque combatir delincuencia usted será recordado mejor presidente guatemala,1.5,0.3612,positivo,1,mejor,,,0,False,True,2
Ugxl5bLZ1llR9fV0V0l4AaABAg,n8iP75gIpmw,UC2Y_EHWQKevubk4vOEBBFxw,/@alfonsomorales2653,Qué rico come tu diputado,Quorum,News & Politics,"Demos Like y comentemos en este tipo de contenido, asi mas gente se entera de estos tranzas 
Risa dá que pida que hanlen de lo que ""hace bien""..... Es su trabajo pedazo de M",demos like comentemos tipo contenido gente entera estos tranzas risa dá pida hanlen hace trabajo pedazo,2.5,0.5423,positivo,2,risa | bien,,,0,False,True,1
UgxoLjEjkngSVGZvO1N4AaABAg,j43HgwYFKfk,UCpsKOkt5iWTbenzeuq7dsmQ,/@inge_vergueta,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,👏👏👏👏👏👏,,7.5,0.8885,positivo,0,,,👏👏👏👏👏👏,0,False,True,1
Ugxoc10_rBva4f6IW2N4AaABAg,n8iP75gIpmw,UCwW2OFy95P7ZBkOPxWkpvYg,/@TeresaLucero-b5o,Qué rico come tu diputado,Quorum,News & Politics,Que devuelvan el pisto ...,devuelvan pisto,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,1
UgxovP0Yh3_qrKdrKrp4AaABAg,yLZS3JiEBg8,UCwEe1RKlEv1UpNWmWYfSh4w,/@marioramirez299,Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,"Primera contradicción ¿Cómo le van a poner un conjunto de reglas a un ""libre mercado"". Al hacer la ley ya no será un libre mercado.

El problema no es la falta de ley. El problema es el sistema capitalista. No hay que darle tanta vuelta",primera contradicción cómo van poner conjunto reglas libre mercado hacer ley será libre mercado problema falta ley problema sistema capitalista darle tanta vuelta,-2.0,-0.4588,negativo,2,,problema | problema,,0,False,True,3
