node_id,node_type,label,author_channel_id,video_id,title,channel_name,category,view_count,has_observed_edge
author::UCB5p8a5gklc80jJItP6xTHg,author,@ernestogamboa8737,UCB5p8a5gklc80jJItP6xTHg,,,,,,True
author::UCBlm80VQ4YoV3bUJR_XhkaQ,author,@rosadiaz6945,UCBlm80VQ4YoV3bUJR_XhkaQ,,,,,,True
author::UCBtB5dIyx-C16UN8ClUD2UA,author,@alexmonzon4257,UCBtB5dIyx-C16UN8ClUD2UA,,,,,,True
author::UCCBYcToQ2dwkd6TJh0FSyDg,author,@lidiarodriguez3493,UCCBYcToQ2dwkd6TJh0FSyDg,,,,,,True
author::UCCUmP4PlbwgikVFpYwbtRTg,author,@alhvi,UCCUmP4PlbwgikVFpYwbtRTg,,,,,,True
author::UCCaYwkkbQGcvFoUmothVdQQ,author,@OsvaldoAguirre-l3i,UCCaYwkkbQGcvFoUmothVdQQ,,,,,,True
author::UCDIMztpVm7G27qBuiWuT6oQ,author,@lizardomorataya8274,UCDIMztpVm7G27qBuiWuT6oQ,,,,,,True
author::UCDPWkUX3sNNaCx-m1dV4glA,author,@hectoroliva949,UCDPWkUX3sNNaCx-m1dV4glA,,,,,,True
author::UCDQaQv0hr2SS_PO-CMEwVHg,author,@federicosaquimux1933,UCDQaQv0hr2SS_PO-CMEwVHg,,,,,,True
author::UCDUffaruH6dyUnUGwsTKpgg,author,@luisletona2842,UCDUffaruH6dyUnUGwsTKpgg,,,,,,True
author::UCDftMWXQoJ6nONfY7GVOVjg,author,@luisgpacheco5858,UCDftMWXQoJ6nONfY7GVOVjg,,,,,,True
author::UCDlr1VadSucIZgZ171pRBjQ,author,@cuabatzjj5924,UCDlr1VadSucIZgZ171pRBjQ,,,,,,True
author::UCDrmf9y9nLgFY5wnA2hTuGA,author,@laboratorio5528,UCDrmf9y9nLgFY5wnA2hTuGA,,,,,,True
author::UCEHXl4VvvVpq-_4xC5tsbhg,author,@anibalg47,UCEHXl4VvvVpq-_4xC5tsbhg,,,,,,True
author::UCEgEQmRbtL5fwr9_DqAC--g,author,@ArielRodas-g5y,UCEgEQmRbtL5fwr9_DqAC--g,,,,,,True
author::UCErZPJpHmLCsXs8ZWkAUupQ,author,@dorisl.garciaroche7763,UCErZPJpHmLCsXs8ZWkAUupQ,,,,,,True
author::UCFFrEmn6lPYiWyElpfzTy5Q,author,@denilsonlopez4083,UCFFrEmn6lPYiWyElpfzTy5Q,,,,,,True
author::UCFOxCyF926Y9eHhMeVoWLzw,author,@arielsarc09,UCFOxCyF926Y9eHhMeVoWLzw,,,,,,True
author::UCFUuDARXdmmIrLppEqf-rFg,author,@allanmunoz7410,UCFUuDARXdmmIrLppEqf-rFg,,,,,,True
author::UCFhxtoeARHPnXXPcDrOU3Xg,author,@diegoalejandrolopezmendez205,UCFhxtoeARHPnXXPcDrOU3Xg,,,,,,True
author::UCFjudnPLoaSL1BaRuLahyHg,author,@HaroldoCastillo-rh9iw,UCFjudnPLoaSL1BaRuLahyHg,,,,,,True
author::UCFoIAE8k82D6AV-8gjjKaNg,author,@eddymunoz9789,UCFoIAE8k82D6AV-8gjjKaNg,,,,,,True
author::UCFxE8GbokBrBsPEKM1xrOjQ,author,@JuanDavila-qd7qj,UCFxE8GbokBrBsPEKM1xrOjQ,,,,,,True
author::UCFybmWapGvBKcQod7cPPH9w,author,@vitalianochavez8382,UCFybmWapGvBKcQod7cPPH9w,,,,,,True
author::UCGGHbtfbbe0o68etrOf0qxw,author,@karensussetteleonvargas9794,UCGGHbtfbbe0o68etrOf0qxw,,,,,,True
author::UCGX_UbAQOXGZknv5iqklwTA,author,@ronaldgarcia8522,UCGX_UbAQOXGZknv5iqklwTA,,,,,,True
author::UCGZMgmM92E3njyXNe9-kjAQ,author,@pasionpornada,UCGZMgmM92E3njyXNe9-kjAQ,,,,,,True
author::UCGj2v6Gl5bN8NSrzJMXS-CA,author,@juliogutierrez492,UCGj2v6Gl5bN8NSrzJMXS-CA,,,,,,True
author::UCGm3gRBEHGRJYmtCryZLtDw,author,@JoséLopez-g6k,UCGm3gRBEHGRJYmtCryZLtDw,,,,,,True
author::UCGqKxQS-z3NZzZF-2w338AA,author,@samuelaguilar529,UCGqKxQS-z3NZzZF-2w338AA,,,,,,True
