red,componente,tamano,aristas_internas,es_componente_mayor
proyeccion_video_video,97,1,0,False
proyeccion_video_video,98,1,0,False
proyeccion_video_video,99,1,0,False
proyeccion_video_video,100,1,0,False
proyeccion_video_video,101,1,0,False
proyeccion_video_video,102,1,0,False
proyeccion_video_video,103,1,0,False
proyeccion_video_video,104,1,0,False
proyeccion_video_video,105,1,0,False
proyeccion_video_video,106,1,0,False
proyeccion_video_video,107,1,0,False
proyeccion_video_video,108,1,0,False
proyeccion_video_video,109,1,0,False
proyeccion_video_video,110,1,0,False
proyeccion_video_video,111,1,0,False
proyeccion_video_video,112,1,0,False
proyeccion_video_video,113,1,0,False
proyeccion_video_video,114,1,0,False
proyeccion_video_video,115,1,0,False
proyeccion_video_video,116,1,0,False
proyeccion_video_video,117,1,0,False
proyeccion_video_video,118,1,0,False
proyeccion_video_video,119,1,0,False
proyeccion_video_video,120,1,0,False
proyeccion_video_video,121,1,0,False
proyeccion_video_video,122,1,0,False
proyeccion_video_video,123,1,0,False
proyeccion_video_video,124,1,0,False
proyeccion_video_video,125,1,0,False
proyeccion_video_video,126,1,0,False
proyeccion_video_video,127,1,0,False
proyeccion_video_video,128,1,0,False
proyeccion_video_video,129,1,0,False
proyeccion_video_video,130,1,0,False
proyeccion_video_video,131,1,0,False
proyeccion_video_video,132,1,0,False
proyeccion_video_video,133,1,0,False
proyeccion_video_video,134,1,0,False
proyeccion_video_video,135,1,0,False
proyeccion_video_video,136,1,0,False
proyeccion_video_video,137,1,0,False
proyeccion_video_video,138,1,0,False
proyeccion_video_video,139,1,0,False
proyeccion_video_video,140,1,0,False
proyeccion_video_video,141,1,0,False
proyeccion_video_video,142,1,0,False
proyeccion_video_video,143,1,0,False
proyeccion_video_video,144,1,0,False
proyeccion_video_video,145,1,0,False
proyeccion_video_video,146,1,0,False
proyeccion_video_video,147,1,0,False
proyeccion_video_video,148,1,0,False
proyeccion_video_video,149,1,0,False
proyeccion_video_video,150,1,0,False
proyeccion_video_video,151,1,0,False
proyeccion_video_video,152,1,0,False
proyeccion_video_video,153,1,0,False
proyeccion_video_video,154,1,0,False
proyeccion_video_video,155,1,0,False
proyeccion_video_video,156,1,0,False
proyeccion_video_video,157,1,0,False
proyeccion_video_video,158,1,0,False
proyeccion_video_video,159,1,0,False
proyeccion_video_video,160,1,0,False
proyeccion_video_video,161,1,0,False
proyeccion_video_video,162,1,0,False
proyeccion_video_video,163,1,0,False
proyeccion_video_video,164,1,0,False
proyeccion_video_video,165,1,0,False
proyeccion_video_video,166,1,0,False
proyeccion_video_video,167,1,0,False
proyeccion_video_video,168,1,0,False
proyeccion_video_video,169,1,0,False
proyeccion_video_video,170,1,0,False
proyeccion_video_video,171,1,0,False
proyeccion_video_video,172,1,0,False
proyeccion_video_video,173,1,0,False
proyeccion_video_video,174,1,0,False
proyeccion_video_video,175,1,0,False
proyeccion_video_video,176,1,0,False
proyeccion_video_video,177,1,0,False
proyeccion_video_video,178,1,0,False
proyeccion_video_video,179,1,0,False
proyeccion_video_video,180,1,0,False
proyeccion_video_video,181,1,0,False
proyeccion_video_video,182,1,0,False
proyeccion_video_video,183,1,0,False
proyeccion_video_video,184,1,0,False
proyeccion_video_video,185,1,0,False
proyeccion_video_video,186,1,0,False
proyeccion_video_video,187,1,0,False
proyeccion_video_video,188,1,0,False
proyeccion_video_video,189,1,0,False
proyeccion_video_video,190,1,0,False
proyeccion_video_video,191,1,0,False
proyeccion_video_video,192,1,0,False
proyeccion_video_video,193,1,0,False
proyeccion_video_video,194,1,0,False
proyeccion_video_video,195,1,0,False
proyeccion_video_video,196,1,0,False
proyeccion_video_video,197,1,0,False
proyeccion_video_video,198,1,0,False
proyeccion_video_video,199,1,0,False
proyeccion_video_video,200,1,0,False
proyeccion_video_video,201,1,0,False
proyeccion_video_video,202,1,0,False
proyeccion_video_video,203,1,0,False
proyeccion_video_video,204,1,0,False
proyeccion_video_video,205,1,0,False
proyeccion_video_video,206,1,0,False
proyeccion_video_video,207,1,0,False
proyeccion_video_video,208,1,0,False
proyeccion_video_video,209,1,0,False
proyeccion_video_video,210,1,0,False
proyeccion_video_video,211,1,0,False
proyeccion_video_video,212,1,0,False
proyeccion_video_video,213,1,0,False
proyeccion_video_video,214,1,0,False
proyeccion_video_video,215,1,0,False
proyeccion_video_video,216,1,0,False
proyeccion_video_video,217,1,0,False
proyeccion_video_video,218,1,0,False
proyeccion_video_video,219,1,0,False
